date,exercise_name,raw_exercise_name,top_weight_kg,top_reps,notes,source_row,import_status
2023-04-11,Latzug Kabel,latziehen kabel,45,12,,121,swapped_weight_reps
2023-04-11,Schrägbank Kurzhantel,schrägbank kurzhantel,12.5,12,,122,inferred_weight_reps
2023-04-11,Bankdrücken,Langhantel bankdrücken,50,10,,123,swapped_weight_reps
2023-04-11,Vorgebeugtes Rudern,Rudern vorgebeugt,50,12,,124,swapped_weight_reps
2023-04-11,Schulterdrücken Kurzhantel,schulterdrücken kh,7.5,12,,125,inferred_weight_reps
2023-04-11,Rückenstrecker,rückenstrecker,12,15,eigen; Fehlende Reps aus erstem späterem vollständigem Rückenstrecker-Eintrag vom 2023-05-08 übernommen,126,filled_missing_reps_from_next_exercise
2023-04-11,Beinstrecker,beinstrecker,45,12,,127,swapped_weight_reps
2023-04-11,Trizeps Dips Kabelzug,Trizeps kabel,35,15,Fehlende Reps aus letztem vollständigem Trizeps Dips Kabelzug-Eintrag vom 2022-07-11 übernommen,128,filled_missing_reps_from_previous_exercise
2023-05-08,Bankdrücken,bankdrücken,50,10,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout
2023-05-08,Latzug Kabel,latziehen kabel,45,12,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen; Fehlende Gewicht/Reps aus letztem vollständigem Latzug Kabel-Eintrag vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
2023-05-08,Latzug Kabel,latziehen kabel,45,12,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout
2023-05-08,Schrägbank Kurzhantel,schrägbank kurzhantel,12.5,12,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout
2023-05-08,Bankdrücken,Langhantel bankdrücken,50,10,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout
2023-05-08,Vorgebeugtes Rudern,Rudern vorgebeugt,50,12,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout
2023-05-08,Schulterdrücken Kurzhantel,schulterdrücken kh,7.5,12,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout
2023-05-08,Rückenstrecker,rückenstrecker,12,15,eigen; Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen; Fehlende Reps aus erstem späterem vollständigem Rückenstrecker-Eintrag vom 2023-05-15 übernommen,copied_from_2023-04-11,filled_from_previous_workout;filled_missing_reps_from_next_exercise
2023-05-08,Beinstrecker,beinstrecker,45,12,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout
2023-05-08,Trizeps Dips Kabelzug,Trizeps kabel,35,15,Aus vorherigem vollständigem Workout vom 2023-04-11 übernommen; Fehlende Reps aus letztem vollständigem Trizeps Dips Kabelzug-Eintrag vom 2023-04-11 übernommen,copied_from_2023-04-11,filled_from_previous_workout;filled_missing_reps_from_previous_exercise
2023-05-08,Kniebeuge,squats,50,20,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Fehlende Gewicht aus letztem vollständigem Kniebeuge-Eintrag vom 2022-07-11 übernommen,130,actual_entry_in_incomplete_workout;filled_missing_weight_from_previous_exercise
2023-05-15,Bankdrücken,bankdrücken,50,10,Aus vorherigem vollständigem Workout vom 2023-05-08 übernommen,copied_from_2023-05-08,filled_from_previous_workout
